playlist_id,playlist_name,source,song_count,created_at
manual_a7e049f66df8,Manual Playlist,manual,5,2026-06-05T12:58:27Z
manual_c58d3e6c5bae,Manual Playlist,manual,5,2026-06-05T13:04:12Z
manual_6e8f875bfe49,Manual Playlist,manual,1,2026-06-05T13:21:37Z
manual_2e2fcacf753d,Manual Playlist,manual,50,2026-06-05T13:27:18Z
manual_1698eff53f9b,Manual Playlist,manual,1,2026-06-05T13:34:35Z
manual_03bf2a6ca60a,Manual Playlist,manual,50,2026-06-05T13:37:49Z
manual_02c09a663b45,Manual Playlist,manual,50,2026-06-05T13:59:26Z
manual_cdefea3b43e1,Manual Playlist,manual,50,2026-06-05T13:59:35Z
manual_73d4f4ccfb2e,Manual Playlist,manual,50,2026-06-05T14:03:22Z
